numeric_code,iso_code,state_abbreviation,state_name,iso_3166_alpha2,iso_3166_alpha3,iso_3166_numeric
01,DE-SH,SH,Schleswig-Holstein,DE,DEU,276
02,DE-HH,HH,Hamburg,DE,DEU,276
03,DE-NI,NI,Niedersachsen,DE,DEU,276
04,DE-HB,HB,Bremen,DE,DEU,276
05,DE-NW,NW,Nordrhein-Westfalen,DE,DEU,276
06,DE-HE,HE,Hessen,DE,DEU,276
07,DE-RP,RP,Rheinland-Pfalz,DE,DEU,276
08,DE-BW,BW,Baden-Württemberg,DE,DEU,276
09,DE-BY,BY,Bayern,DE,DEU,276
10,DE-SL,SL,Saarland,DE,DEU,276
11,DE-BE,BE,Berlin,DE,DEU,276
12,DE-BB,BB,Brandenburg,DE,DEU,276
13,DE-MV,MV,Mecklenburg-Vorpommern,DE,DEU,276
14,DE-SN,SN,Sachsen,DE,DEU,276
15,DE-ST,ST,Sachsen-Anhalt,DE,DEU,276
16,DE-TH,TH,Thüringen,DE,DEU,276
,AT-7,TI,Tirol,AT,AUT,40
